"Time (CET)","Day-ahead Total Load Forecast [MW] - Germany (DE)","Actual Total Load [MW] - Germany (DE)"
"04.01.2016 09:15 - 04.01.2016 09:30","53064","63318"
"04.01.2016 09:30 - 04.01.2016 09:45","53373","63710"
"04.01.2016 09:45 - 04.01.2016 10:00","53813","63913"
"04.01.2016 10:00 - 04.01.2016 10:15","53787","64209"
"04.01.2016 10:15 - 04.01.2016 10:30","54188","64364"
"04.01.2016 10:30 - 04.01.2016 10:45","54595","64499"
"04.01.2016 10:45 - 04.01.2016 11:00","54724","64918"
"04.01.2016 11:00 - 04.01.2016 11:15","55121","65054"
"04.01.2016 11:15 - 04.01.2016 11:30","55066","65877"
"04.01.2016 11:30 - 04.01.2016 11:45","55604","66274"
"04.01.2016 11:45 - 04.01.2016 12:00","55866","66408"
"04.01.2016 12:00 - 04.01.2016 12:15","55616","66228"
"04.01.2016 12:15 - 04.01.2016 12:30","55360","66120"
"04.01.2016 12:30 - 04.01.2016 12:45","55704","65991"
"04.01.2016 12:45 - 04.01.2016 13:00","55645","65943"
"04.01.2016 13:00 - 04.01.2016 13:15","55495","65779"
"04.01.2016 13:15 - 04.01.2016 13:30","55513","65528"
"04.01.2016 13:30 - 04.01.2016 13:45","55411","65050"
"04.01.2016 13:45 - 04.01.2016 14:00","55263","64509"
"04.01.2016 14:00 - 04.01.2016 14:15","54957","64367"
"04.01.2016 14:15 - 04.01.2016 14:30","54625","64066"
"04.01.2016 14:30 - 04.01.2016 14:45","55014","63878"
"04.01.2016 14:45 - 04.01.2016 15:00","54187","63746"
"04.01.2016 15:00 - 04.01.2016 15:15","54995","63819"
"04.01.2016 15:15 - 04.01.2016 15:30","54528","63416"
"04.01.2016 15:30 - 04.01.2016 15:45","54474","63248"
"04.01.2016 15:45 - 04.01.2016 16:00","54411","63065"
"04.01.2016 16:00 - 04.01.2016 16:15","53522","63182"
"04.01.2016 16:15 - 04.01.2016 16:30","54725","63683"
"04.01.2016 16:30 - 04.01.2016 16:45","55499","64528"
"04.01.2016 16:45 - 04.01.2016 17:00","56257","65766"
"04.01.2016 17:00 - 04.01.2016 17:15","56735","66806"
"04.01.2016 17:15 - 04.01.2016 17:30","57834","67490"
"04.01.2016 17:30 - 04.01.2016 17:45","57906","67977"
"04.01.2016 17:45 - 04.01.2016 18:00","58191","68139"
"04.01.2016 18:00 - 04.01.2016 18:15","57553","67862"
"04.01.2016 18:15 - 04.01.2016 18:30","57836","67639"
"04.01.2016 18:30 - 04.01.2016 18:45","57457","67485"
"04.01.2016 18:45 - 04.01.2016 19:00","57177","67478"
"04.01.2016 19:00 - 04.01.2016 19:15","58293","67000"
"04.01.2016 19:15 - 04.01.2016 19:30","56059","66212"
"04.01.2016 19:30 - 04.01.2016 19:45","55548","65292"
"04.01.2016 19:45 - 04.01.2016 20:00","55520","64693"
"04.01.2016 20:00 - 04.01.2016 20:15","54796","63516"
"04.01.2016 20:15 - 04.01.2016 20:30","53460","61998"
"04.01.2016 20:30 - 04.01.2016 20:45","52336","60810"
"04.01.2016 20:45 - 04.01.2016 21:00","51790","59995"
"04.01.2016 21:00 - 04.01.2016 21:15","51876","59493"
"04.01.2016 21:15 - 04.01.2016 21:30","51493","58956"
"04.01.2016 21:30 - 04.01.2016 21:45","50678","58391"
"04.01.2016 21:45 - 04.01.2016 22:00","50783","57594"
"04.01.2016 22:00 - 04.01.2016 22:15","49911","57744"
"04.01.2016 22:15 - 04.01.2016 22:30","50347","57078"
"04.01.2016 22:30 - 04.01.2016 22:45","49505","56032"
"04.01.2016 22:45 - 04.01.2016 23:00","48403","55047"
"04.01.2016 23:00 - 04.01.2016 23:15","47224","53819"
"04.01.2016 23:15 - 04.01.2016 23:30","46471","52784"
"04.01.2016 23:30 - 04.01.2016 23:45","45951","51952"
"04.01.2016 23:45 - 05.01.2016 00:00","44871","51249"
"05.01.2016 00:00 - 05.01.2016 00:15","45537","50457"
"05.01.2016 00:15 - 05.01.2016 00:30","45420","49673"
"05.01.2016 00:30 - 05.01.2016 00:45","44790","49086"
"05.01.2016 00:45 - 05.01.2016 01:00","44900","48450"
"05.01.2016 01:00 - 05.01.2016 01:15","44005","47918"
